source_root,run_name,split,checkpoint,infer_id,build.retrieval.top_k,build.retrieval.mmr_lambda,macro_f1,prompt_stats_found,prompt_stats_path,prompt.train.prompt_token_count.mean,prompt.train.prompt_token_count.p50,prompt.train.prompt_token_count.p90,prompt.train.prompt_token_count.p95,prompt.train.prompt_token_count.p99,prompt.train.prompt_token_count.max,prompt.train.prompt_token_count.overflow_rate,prompt.train.evidence_truncation.truncation_rate,prompt.train.evidence_truncation.mean_evidence_count,prompt.val.prompt_token_count.mean,prompt.val.prompt_token_count.p50,prompt.val.prompt_token_count.p90,prompt.val.prompt_token_count.p95,prompt.val.prompt_token_count.p99,prompt.val.prompt_token_count.max,prompt.val.prompt_token_count.overflow_rate,prompt.val.evidence_truncation.truncation_rate,prompt.val.evidence_truncation.mean_evidence_count
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__826481ae",test,best,79d8b34809bb,0,0.7,0.207291624831,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__826481ae/train/prompt_stats/prompt_stats.json",215.102334824,213,228,234,244,295,0,0,0,215.144427002,214,228,233,246,269,0,0,0
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-1__d9ea37d1",test,best,79d8b34809bb,1,0.7,0.266730448869,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-1__d9ea37d1/train/prompt_stats/prompt_stats.json",352.403974168,333,485,548,679,1020,0,0.00019870839543,1,351.502354788,333,477,538.05,682,855,0,0,1
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__14d66b72",test,best,79d8b34809bb,2,0.7,0.273158577956,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__14d66b72/train/prompt_stats/prompt_stats.json",499.597019374,477,712,793,935.36,1020,0,0.0104321907601,1.96651763537,499.073783359,479,712.7,786.05,909,994,0,0.00706436420722,1.98351648352
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-3__764bfb33",test,best,79d8b34809bb,3,0.7,0.277109970951,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-3__764bfb33/train/prompt_stats/prompt_stats.json",632.076304024,627,876,938,1003,1020,0,0.072826626925,2.83676105315,638.924646782,635,872,926.35,988,1019,0,0.0549450549451,2.90031397174
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__3c6ef0b3",test,best,79d8b34809bb,4,0.7,0.272898449318,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__3c6ef0b3/train/prompt_stats/prompt_stats.json",729.966020864,750,956,987,1013,1020,0,0.219175360159,3.52300049677,741.923861852,760,956,983.35,1008.81,1019,0,0.222135007849,3.6240188383
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-5__b23a0bbe",test,best,79d8b34809bb,5,0.7,0.276910921229,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-5__b23a0bbe/train/prompt_stats/prompt_stats.json",788.18579235,826,981,1000,1016,1020,0,0.408941877794,3.98469945355,802.181318681,836,972.7,997,1015.27,1019,0,0.445839874411,4.09811616954
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__b9900ce8",test,best,79d8b34809bb,6,0.7,0.274636776156,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__b9900ce8/train/prompt_stats/prompt_stats.json",818.553999006,862,989,1005,1017,1020,0,0.564927968207,4.26020864382,838.976452119,870,989,1005,1016,1020,0,0.617739403454,4.40031397174
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-7__5b686e8c",test,best,79d8b34809bb,7,0.7,0.274416498677,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-7__5b686e8c/train/prompt_stats/prompt_stats.json",834.236462991,881,994,1007,1018,1020,0,0.669349230005,4.41629408843,858.054945055,892,995,1007,1017,1020,0,0.733124018838,4.57142857143
b3_mmr_topk_sweep_1024,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__f1516068",test,best,79d8b34809bb,8,0.7,0.267337326841,true,"/home/fenglin/project/fact-checking/outputs/runs/b3_mmr_topk_sweep_1024/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__f1516068/train/prompt_stats/prompt_stats.json",841.319821162,889,997,1009,1018,1020,0,0.731445603577,4.49667163438,867.3288854,904.5,997,1008,1017,1020,0,0.806907378336,4.67111459969
heuristic_lambda_mmr,33088d994dd4,test,best,79d8b34809bb,5,0.7,0.279905240209,true,/home/fenglin/project/fact-checking/outputs/runs/heuristic_lambda_mmr/33088d994dd4/train/prompt_stats/prompt_stats.json,775.98390462,813,979,1000,1017,1020,0,0.371684053651,4.03715846995,792.208791209,821,975,998,1016,1020,0,0.384615384615,4.18053375196
heuristic_lambda_mmr_fullft,484dc7dca0ad,test,best,0d27dabf11a7,5,0.7,0.321463216342,true,/home/fenglin/project/fact-checking/outputs/runs/heuristic_lambda_mmr_fullft/484dc7dca0ad/train/prompt_stats/prompt_stats.json,775.98390462,813,979,1000,1017,1020,0,0.371684053651,4.03715846995,792.208791209,821,975,998,1016,1020,0,0.384615384615,4.18053375196
mmr_sensitivity_gated,ts0p8_tr0p3_ll0p2_basic__9a7f2ee7,test,best,79d8b34809bb,5,0.7,0.279483490943,true,/home/fenglin/project/fact-checking/outputs/runs/mmr_sensitivity_gated/ts0p8_tr0p3_ll0p2_basic__9a7f2ee7/train/prompt_stats/prompt_stats.json,770.247590661,809,978,999,1016,1020,0,0.379930452062,4.02225534029,777.314756672,811.5,972.7,997,1015.27,1019,0,0.39874411303,4.17032967033
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c",test,best,9a002ceb9c81,0,0.7,0.088475236792,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-0__8283349c/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486",test,best,ba745f87dcd7,2,0.7,0.21635384472,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-2__ab9ab486/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__21b2059b",test,best,f4015acb91b1,4,0.7,0.230595341428,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-4__21b2059b/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__93d6f740",test,best,bd583eff3efe,6,0.7,0.241983744364,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-6__93d6f740/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__9e605e05",test,best,e7ce47ec59f2,8,0.7,0.250954803723,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-8__9e605e05/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-10__09382603",test,best,f7aacf52ba20,10,0.7,0.236023868902,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-10__09382603/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-12__21d39f02",test,best,f19ed0a01475,12,0.7,0.248786256569,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-12__21d39f02/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-14__ab3b17c8",test,best,558de893f23f,14,0.7,0.254943862049,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-14__ab3b17c8/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-16__bdc64fdd",test,best,81def46d7ce8,16,0.7,0.262024107026,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-16__bdc64fdd/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-18__848f6a1a",test,best,2bf8b25abbbe,18,0.7,0.265705945228,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-18__848f6a1a/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-20__191bb752",test,best,b2358170fa12,20,0.7,0.272947067349,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-20__191bb752/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-22__ede2b82b",test,best,e270cb01c727,22,0.7,0.253595993302,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-22__ede2b82b/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-24__89425e76",test,best,8311d51dd899,24,0.7,0.261845007651,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-24__89425e76/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-26__8b5ae44e",test,best,30b0ec85c3a3,26,0.7,0.262384284645,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-26__8b5ae44e/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-28__c696ff2c",test,best,82107877f01b,28,0.7,0.256897146129,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-28__c696ff2c/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-30__86ba27ab",test,best,9e58df364083,30,0.7,0.255661670915,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-30__86ba27ab/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
mmr_topk_sweep_infer,"build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-32__b4ea4992",test,best,ac476cc8ac43,32,0.7,0.258026832279,false,"/home/fenglin/project/fact-checking/outputs/runs/mmr_topk_sweep_infer/build.retrieval.mmr_lambda-0.7,build.retrieval.top_k-32__b4ea4992/train/prompt_stats/prompt_stats.json",,,,,,,,,,,,,,,,,,
reranker_only,95e32732d7ee,test,best,79d8b34809bb,5,,0.274531132653,true,/home/fenglin/project/fact-checking/outputs/runs/reranker_only/95e32732d7ee/train/prompt_stats/prompt_stats.json,797.909488326,842,985,1003,1017,1020,0,0.515151515152,3.65474416294,821.997645212,857,985,1002.35,1016.27,1020,0,0.573783359498,3.69466248038
